Country,Year,Forecast_CO2,Lower_95_CI,Upper_95_CI
Japan,2043,1139.2068936925687,1074.0634709298001,1204.3503164553372
United States,2024,5297.594866158516,5028.895973229888,5566.293759087144
United States,2025,5288.35401855476,5019.655125626132,5557.052911483388
United States,2026,5280.31864625026,5011.619753321632,5549.017539178888
United States,2027,5273.331494114379,5004.632601185751,5542.030387043007
United States,2028,5267.255821062789,4998.556928134161,5535.9547139914175
United States,2029,5261.972723985191,4993.273831056563,5530.671616913819
United States,2030,5257.378810768608,4988.67991783998,5526.077703697236
United States,2031,5253.384176876495,4984.685283947867,5522.083069805123
United States,2032,5249.910645884571,4981.211752955943,5518.609538813199
United States,2033,5246.890239540029,4978.191346611401,5515.589132468657
United States,2034,5244.263847402644,4975.564954474016,5512.9627403312725
United States,2035,5241.980070032167,4973.2811771035385,5510.678962960795
United States,2036,5239.994213082753,4971.295320154125,5508.693106011381
United States,2037,5238.267412618527,4969.5685196898985,5506.966305547155
United States,2038,5236.765874532345,4968.066981603717,5505.464767460973
United States,2039,5235.4602131829515,4966.761320254323,5504.15910611158
United States,2040,5234.324876307392,4965.6259833787635,5503.02376923602
United States,2041,5233.33764495402,4964.638752025392,5502.036537882648
United States,2042,5232.479198649616,4963.780305720988,5501.178091578244
United States,2043,5231.732737290757,4963.033844362129,5500.431630219385
Russia,2024,1683.2561344312833,1566.3886809664823,1800.1235878960842
Russia,2025,1691.5067034173078,1574.6392499525068,1808.3741568821088
Russia,2026,1698.1071586061275,1581.2397051413266,1814.9746120709285
Russia,2027,1703.3875227571832,1586.5200692923822,1820.2549762219842
Russia,2028,1707.6118140780277,1590.7443606132267,1824.4792675428287
Russia,2029,1710.9912471347034,1594.1237936699024,1827.8587005995043
Russia,2030,1713.694793580044,1596.827340115243,1830.562247044845
Russia,2031,1715.8576307363164,1598.9901772715154,1832.7250842011174
Russia,2032,1717.5879004613344,1600.7204469965334,1834.4553539261353
Russia,2033,1718.9721162413487,1602.1046627765477,1835.8395697061496
Russia,2034,1720.0794888653602,1603.2120354005592,1836.9469423301612
Russia,2035,1720.9653869645692,1604.0979334997683,1837.8328404293702
Russia,2036,1721.6741054439367,1604.8066519791357,1838.5415589087377
Russia,2037,1722.2410802274305,1605.3736267626296,1839.1085336922315
Russia,2038,1722.6946600542256,1605.8272065894246,1839.5621135190265
Russia,2039,1723.0575239156617,1606.1900704508607,1839.9249773804627
Russia,2040,1723.3478150048106,1606.4803615400097,1840.2152684696116
Russia,2041,1723.5800478761296,1606.7125944113286,1840.4475013409306
Russia,2042,1723.7658341731849,1606.898380708384,1840.6332876379859
Russia,2043,1723.9144632108291,1607.0470097460282,1840.78191667563
Germany,2024,773.4226441169454,738.2141465167321,808.6311417171588
Germany,2025,768.4106189699735,733.2021213697601,803.6191165701869
Germany,2026,763.5556810692555,728.3471834690421,798.7641786694688
Germany,2027,758.8529069752213,723.644409375008,794.0614045754347
Germany,2028,754.2975275590917,719.0890299588783,789.5060251593051
Germany,2029,749.8849231664582,714.6764255662448,785.0934207666716
Germany,2030,745.6106189324474,710.4021213322341,780.8191165326608
Germany,2031,741.470280243717,706.2617826435036,776.6787778439303
Germany,2032,737.4597083426821,702.2512107424687,772.6682059428955
Germany,2033,733.5748360695148,698.3663384693015,768.7833336697282
Germany,2034,729.811723737598,694.6032261373846,765.0202213378113
Germany,2035,726.1665551382505,690.9580575380371,761.3750527384639
Germany,2036,722.6356336706734,687.42713607046,757.8441312708868
Germany,2037,719.2153785931915,684.0068809929782,754.4238761934049
Germany,2038,715.9023213919878,680.6938237917744,751.1108189922012
Germany,2039,712.6931022636504,677.484604663437,747.9015998638638
Germany,2040,709.5844667079635,674.3759691077502,744.7929643081769
Germany,2041,706.5732622274869,671.3647646272735,741.7817598277003
Germany,2042,703.6564351305777,668.4479375303644,738.8649327307911
Germany,2043,700.8310274346127,665.6225298343993,736.039525034826
United Kingdom,2024,359.35305877484313,328.21410406127006,390.4920134884162
United Kingdom,2025,344.3237678318309,313.1848131182578,375.46272254540395
United Kingdom,2026,329.65965213016614,298.52069741659307,360.7986068437392
United Kingdom,2027,315.3518387990397,284.2128840854666,346.49079351261275
United Kingdom,2028,301.3916705568373,270.25271584326424,332.5306252704104
United Kingdom,2029,287.7707004728467,256.63174575927366,318.9096551864198
United Kingdom,2030,274.4806868562417,243.3417321426686,305.61964156981475
United Kingdom,2031,261.51358826925167,230.3746335556786,292.65254298282474
United Kingdom,2032,248.86155866149943,217.72260394792636,280.0005133750725
United Kingdom,2033,236.51694262256194,205.37798790898887,267.655897336135
United Kingdom,2034,224.4722707498832,193.33331603631012,255.61122546345626
United Kingdom,2035,212.7202551292349,181.58130041566184,243.85920984280799
United Kingdom,2036,201.2537849249914,170.11483021141834,232.39273963856448
United Kingdom,2037,190.06592207754977,158.9269673639767,221.20487679112284
United Kingdom,2038,179.14989710529264,148.01094239171957,210.2888518188657
United Kingdom,2039,168.4991050085527,137.36015029497963,199.63805972212577
United Kingdom,2040,158.10710127310122,126.96814655952815,189.2460559866743
United Kingdom,2041,147.96759797074188,116.8286432571688,179.10655268431495
United Kingdom,2042,138.07445995465073,106.93550524107766,169.2134146682238
United Kingdom,2043,128.4217011471603,97.28274643358722,159.56065586073336
Brazil,2024,482.4324299610877,446.8186894695001,518.0461704526753
Brazil,2025,488.08924997844315,452.4755094868556,523.7029904700307
Brazil,2026,493.57668875464276,457.9629482630552,529.1904292462303
Brazil,2027,498.8998180446242,463.28607755303665,534.5135585362118
Brazil,2028,504.06355774059284,468.44981724900526,539.6772982321804
Brazil,2029,509.0726804192221,473.4589399276345,544.6864209108096
Brazil,2030,513.9318157526989,478.3180752611113,549.5455562442864
Brazil,2031,518.6454547876892,483.03171429610165,554.2591952792768
